,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,histoire,history
1,1,1,police,police
2,3,6,car,because
3,4,7,mettre,to put
4,5,10,ville,city
5,8,14,longtemps,long time
6,13,20,étaient,were
7,16,24,donner,give
8,19,27,donné,given
9,22,31,yeux,eyes
10,25,34,dont,whose
11,26,36,premier,first
12,28,38,main,hand
13,31,42,vieux,old
14,35,48,suite,after
15,37,50,devant,in front of
16,38,51,vers,towards
17,39,52,minutes,minutes
18,40,53,demandé,request
19,44,60,cause,cause
20,52,68,arrêter,Stop
21,55,71,donne,given
22,56,72,loin,far
23,58,75,chérie,sweetheart
24,60,77,jouer,to play
